iter	Passed	Remaining
0	84	84822
1	3090	1542273
2	5344	1776103
3	6298	1568275
4	6515	1296654
5	6546	1084564
6	6594	935453
7	6633	822567
8	8794	968367
9	8817	872913
10	12292	1105182
11	14588	1201084
12	14608	1109144
13	15131	1065657
14	17435	1144927
15	19436	1195333
16	21200	1225876
17	23567	1285711
18	25981	1341479
19	26252	1286359
20	28305	1319559
21	28335	1259630
22	28872	1226434
23	31090	1264353
24	31178	1215960
25	31213	1169308
26	33760	1216618
27	35148	1220160
28	35196	1178487
29	35205	1138310
30	35306	1103602
31	35590	1076607
32	35749	1047563
33	36064	1024668
34	37750	1040847
35	37768	1011358
36	38111	991940
37	38206	967223
38	40559	999434
39	40593	974251
40	43228	1011121
41	45759	1043760
42	47864	1065265
43	47927	1041328
44	50368	1068940
45	51339	1064746
46	53564	1086108
47	55301	1096815
48	55315	1073567
49	55890	1061916
50	58309	1085015
51	58324	1063291
52	58651	1047989
53	60773	1064665
54	63079	1083824
55	65142	1098119
56	67508	1116851
57	69731	1132537
58	72235	1152097
59	74712	1170495
60	77031	1185786
61	79375	1200878
62	79746	1186069
63	79763	1166546
64	80049	1151479
65	81893	1158913
66	81902	1140523
67	84506	1158238
68	87106	1175300
69	87123	1157496
70	89436	1170231
71	89786	1157242
72	91307	1159476
73	93821	1174038
74	94012	1159483
75	94028	1143186
76	94356	1131048
77	96895	1145350
78	96903	1129725
79	98814	1136364
80	100722	1142760
81	103376	1157311
82	105816	1169084
83	105827	1154020
84	108095	1163618
85	108105	1148932
86	110598	1160651
87	110791	1148201
88	113078	1157467
89	115288	1165693
90	115319	1151924
91	117740	1162044
92	117749	1148370
93	117762	1135033
94	117770	1121923
95	117827	1109543
96	117860	1097193
97	120643	1110410
98	122997	1119404
99	123500	1111502
100	123532	1099561
101	123719	1089213
102	125860	1096087
103	125869	1084410
104	125955	1073618
105	127771	1077618
106	127798	1066580
107	128186	1058725
108	128292	1048702
109	130408	1055126
110	132865	1064121
111	133233	1056348
112	136049	1067928
113	138129	1073533
114	138181	1063400
115	138734	1057252
116	139715	1054436
117	142248	1063246
118	142262	1053220
119	144316	1058321
120	144373	1048792
